CONTROL	GUT	IMMMUNE
REL	6603	8097	2519
REV3L	1964	3808	6004
REXO2	708	651	1851
RHOA	65	113	68
RIT1	3260	2451	1058
RLN2	15219.5	15622	9892
RMI2	9490	5625	3583
RNASET2	448	1044	202
RNF114	437	1140	1031
RNF123	510	3053	1043
RNF14	1347	2181	2200
RNF145	907	1045	1171
RNF186	13697	886	9774
RNF40	2144	2468	1385
RNPEPL1	506	501	275
RPF2	2361	3660	4029
RPL18	78	60	67
RPL19	25	28	24
RPL3	29	41	47
RPL37	223	428	228
RPS6KA2	689	1104	2466
RSBN1	3613	7723	2831
RSPH3	7904	6726	8422
RSPO3	739	401	6200
RTEL1	12016	13585	13084
RUSC1	753	2547	5236
RUSC1-AS1	1666	461	815
RXFP4	14135	8916	10003.5
S1PR2	5036	6840	3363
S1PR5	677	3254	356
SAG	7752	20917.5	15961.5
SBK1	1034	11984	4200
SBNO2	391	444	185
SCAMP3	1182	1314	1563
SDCCAG3	2001	1624	1045
SDF2L1	362	462	191
SDHC	670	784	857
SEC16A	2530	1574	1172
SEH1L	3465	4877	5071
SEMA3B	104	471	5695
SEMA3F	1169	459	371
SEMA4A	2140	1797	319
SEPHS2	896	438	211
SEPT1	15031	14913	11398
SEPT8	98	2500	1783
SERBP1	715	679	427
SERINC3	421	638	780
SETD1A	3120	3893	4389
SF3A1	992	1454	725
SH2B1	1667	1744	1682
SHC1	391	318	220
SHISA5	541	510	153
SHROOM1	1011	1286	240
SKAP2	1815	2647	521
SLAMF1	2894	6648	354
SLAMF7	3727	501	197
SLC12A5	276	17449	11640
SLC15A3	343	1276	421
SLC16A10	1460	7042	7882
SLC1A5	425	235	421
SLC22A4	1274	4846	642
SLC22A5	427	2158	4843
SLC25A20	560	898	473
SLC25A28	304	499	614
SLC26A3	11402	21	9023
SLC26A6	677	554	863
SLC2A13	1833	8525	8597
SLC2A4RG	559	621	250
SLC35D1	3990	2548	1668
SLC38A3	1228	7460	203
SLC44A2	206	281	234
SLC50A1	1933	571	1157
SLC9A2	6287	2772	14040
SLC9A3	1310	209	3250
SLC9A4	22605	982	15079
SLC9A8	2782	3545	705
SMAD3	974	1531	2014
SMO	1312	3180	1880
SMPD3	3167	2455	4840
SNAI1	848	2202	1756
SNAPC4	3207	4266	3077
SNX20	6465	5795	1196
SOCS1	1348	1649	876
